id	pub_date	position	address	education	salary	company	rate	duration
13327	2022-04-12	数据岗_0	北京	本科	7.5	滴滴	1	2
13328	2022-03-20	开发岗_0	北京	本科	9.2	好大夫在线	0.99	5
13329	2022-04-10	开发岗_0	北京	本科	9.2	好大夫在线	0.99	5
13330	2022-03-07	其他_0	上海	学历不限	4.8	上海张江发展战略研究院	1	1
13331	2022-04-06	开发岗_0	北京	本科	7.5	滴滴	1	2
13332	2022-03-06	开发岗_0	北京	本科	7.5	滴滴	1	2
13333	2022-03-05	数据岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉	本科	13.5	字节跳动	0.99	1
13334	2022-04-12	数据岗_0	上海	本科	9.8	爱钛技术	0.97	18
13335	2022-05-09	其他_0	北京	本科	7.5	滴滴	1	2
13336	2022-04-09	算法岗_0	深圳	硕士	9.0	云鲸智能	0.98	1
13337	2022-03-15	其他_0	北京/上海/广州/深圳/杭州/成都	本科	8.3	网易有道	0.99	8
13338	2022-04-06	策划岗_0	上海	学历不限	4.5	博思软件	0.99	43
13339	2022-03-05	开发岗_0	北京/上海	本科	4.5	美团	0.99	1
13340	2022-04-07	其他_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉	本科	13.5	字节跳动	0.99	1
13341	2022-04-14	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉	本科	13.5	字节跳动	0.99	1
13342	2022-05-12	其他_0	上海/北京/广州/深圳/杭州/成都	本科	7.2	Shopee	0.99	8
13343	2022-03-20	开发岗_0	北京	本科	10.5	华为	0.81	59
13344	2022-03-19	其他_0	北京	本科	10.5	SmartX	0.99	15
13345	2022-03-12	算法岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉	本科	13.5	字节跳动	0.99	1
13346	2022-03-23	开发岗_0	上海	本科	7.1	又为智能	0.5	7
13347	2022-04-20	其他_0	上海	本科	4.5	上海科通实业有限公司	0.99	1
13348	2022-04-14	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉	本科	13.5	字节跳动	0.99	1
13349	2022-05-10	开发岗_0	北京	本科	9.2	好大夫在线	0.99	5
13350	2022-05-12	其他_0	上海	学历不限	4.8	上海张江发展战略研究院	1	1
13351	2022-03-10	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉	本科	13.5	字节跳动	0.99	1
13352	2022-03-28	其他_0	北京/上海/杭州	本科	10.8	滴滴	0.66	17
13353	2022-04-15	其他_0	北京	本科	4.5	字节跳动	1	1
13354	2022-04-08	开发岗_0	上海	本科	12.0	爱钛技术	0.97	18
13355	2022-03-14	其他_0	上海	本科	4.5	字节跳动	1	1
13356	2022-04-06	开发岗_0	深圳	硕士	9.0	云鲸智能	0.98	1
13357	2022-03-23	其他_0	北京/上海/广州/深圳/杭州/成都	本科	7.5	网易有道	0.99	8
13358	2022-04-15	设计岗_0	上海	学历不限	4.5	博思软件	0.99	43
13359	2022-03-15	数据岗_0	北京/上海/深圳/成都/厦门	本科	4.5	美团	0.99	1
13360	2022-04-10	开发岗_0	北京	本科	4.5	字节跳动	1	1
13361	2022-03-12	开发岗_0	北京/杭州	本科	12.2	字节跳动	1	7
13362	2022-04-07	其他_0	上海/北京/广州/深圳/杭州/成都	本科	7.2	Shopee	0.99	8
13363	2022-04-15	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆	本科	13.5	字节跳动	0.72	1
13364	2022-03-19	其他_0	北京	本科	10.5	SmartX	0.99	15
13365	2022-04-14	开发岗_0	北京/上海/杭州	学历不限	13.5	字节跳动	1	11
13366	2022-05-14	开发岗_0	上海	本科	7.1	又为智能	0.5	7
13367	2022-03-12	开发岗_0	上海	本科	5.3	上海科通实业有限公司	0.99	1
